"Path","Risk","Lines","ExceptAny","ExceptBroad","Print","Todo"
"backend/app/pipeline/parsing/ocr_engine.py","3.4","288","2","0","6","0"
"backend/app/pipeline/parsing/parser.py","7.7","846","12","9","6","0"
"backend/app/pipeline/parsing/parser_factory.py","6.7","163","10","7","11","0"
"backend/app/pipeline/parsing/pdf_parser.py","6.2","615","8","7","0","0"
"backend/app/pipeline/parsing/table_extractor.py","4","350","3","1","4","0"
"backend/app/pipeline/parsing/tex_parser.py","4.6","338","5","4","0","0"
"backend/app/pipeline/parsing/txt_parser.py","2.6","164","1","0","0","0"
"backend/app/pipeline/references/__init__.py","2","6","0","0","0","0"
"backend/app/pipeline/references/formatter_engine.py","2.8","114","2","2","0","0"
"backend/app/pipeline/references/normalizer.py","2","47","0","0","0","0"
"backend/app/pipeline/references/parser.py","3.3","211","2","2","0","0"
"backend/app/pipeline/safety/__init__.py","2","9","0","0","0","0"
"backend/app/pipeline/safety/circuit_breaker.py","4.6","164","7","5","0","0"
"backend/app/pipeline/safety/llm_validator.py","3.6","120","5","2","5","0"
"backend/app/pipeline/safety/retry_guard.py","2.8","63","2","2","0","0"
"backend/app/pipeline/safety/safe_execution.py","2.8","74","2","2","0","0"
"backend/app/pipeline/safety/validator_guard.py","2.8","47","2","1","3","0"
"backend/app/pipeline/services/__init__.py","2","17","0","0","0","0"
"backend/app/pipeline/services/crossref_client.py","2.7","171","2","0","0","0"
"backend/app/pipeline/services/csl_engine.py","3.3","283","2","2","0","0"
"backend/app/pipeline/services/docling_client.py","5.7","486","7","7","0","0"
"backend/app/pipeline/services/grobid_client.py","3.9","317","4","2","0","0"
"backend/app/pipeline/structure_detection/__init__.py","2","6","0","0","0","0"
"backend/app/pipeline/structure_detection/detector.py","4","546","1","1","5","0"
"backend/app/pipeline/structure_detection/heading_rules.py","3","397","0","0","0","0"
"backend/app/pipeline/structure_detection/position_rules.py","2.8","231","4","0","0","0"
"backend/app/pipeline/tables/caption_matcher.py","3.3","178","2","2","0","0"
"backend/app/pipeline/tables/extractor.py","3.6","175","3","3","0","0"
"backend/app/pipeline/tables/renderer.py","3.5","85","4","4","0","0"
"backend/app/pipeline/validation/__init__.py","2","6","0","0","0","0"
"backend/app/pipeline/validation/ai_explainer.py","2","47","0","0","0","0"
"backend/app/pipeline/validation/review_manager.py","2.1","117","1","0","0","0"
"backend/app/pipeline/validation/validator_v3.py","4","277","4","4","0","0"
"backend/app/routers/__init__.py","2","3","0","0","0","0"
"backend/app/routers/auth.py","2","54","0","0","0","0"
"backend/app/routers/documents.py","9","835","26","12","0","0"
"backend/app/routers/feedback.py","3.1","74","3","3","0","0"
"backend/app/routers/metrics.py","4.5","176","6","5","0","0"
"backend/app/routers/stream.py","3.2","121","4","3","0","0"
"backend/app/routers/templates.py","4.2","222","6","4","0","0"
"backend/app/schemas/__init__.py","2","86","0","0","0","0"
"backend/app/schemas/auth.py","2.5","165","0","0","0","0"
"backend/app/schemas/document.py","2.5","177","0","0","0","0"
"backend/app/schemas/user.py","2","63","0","0","0","0"
"backend/app/services/ab_testing.py","4.8","256","6","6","0","0"
"backend/app/services/auth_service.py","5.4","218","14","6","0","0"
"backend/app/services/crossref_client.py","3.6","141","5","4","0","0"
"backend/app/services/document_service.py","6.5","382","12","12","0","0"
"backend/app/services/llm_service.py","6","276","8","7","0","0"
"backend/app/services/model_metrics.py","3","203","1","1","1","0"
"backend/app/services/model_store.py","2","33","0","0","0","0"
"backend/app/services/nvidia_client.py","4.6","251","7","5","0","0"
"backend/app/services/user_service.py","3.1","123","3","3","0","0"
"backend/app/tasks/celery_tasks.py","2.4","72","1","1","0","0"
"backend/app/templates/acm/contract.yaml","2","50","0","0","0","0"
"backend/app/templates/acm/styles.csl","2","56","0","0","0","0"
"backend/app/templates/apa/contract.yaml","2","24","0","0","0","0"
"backend/app/templates/apa/styles.csl","2","86","0","0","0","0"
"backend/app/templates/chicago/contract.yaml","2","24","0","0","0","0"
"backend/app/templates/chicago/styles.csl","2","56","0","0","0","0"
"backend/app/templates/elsevier/contract.yaml","2","24","0","0","0","0"
"backend/app/templates/elsevier/styles.csl","2","56","0","0","0","0"
"backend/app/templates/harvard/contract.yaml","2","24","0","0","0","0"
"backend/app/templates/harvard/styles.csl","2","56","0","0","0","0"
